0 ['ddr', 'berlin', 'westen', 'wende', 'osten', 'mauer', 'eltern', 'westberlin', 'prinzip', 'relativ', 'lachen', 'erinnern', 'spannend', 'zeit', 'grenze', 'kind', 'passieren', 'ostberlin', 'erleben', 'interessant', 'merken', '89', 'freund', 'mitbekommen', 'familie', 'super', 'stadt', 'kennen', 'rüber', 'dresden', 'west', 'berliner', 'kontakt', 'stasi', 'politisch', 'richtung', 'spät', 'westdeutschland', 'gefühl', 'drüben', 'richtig', 'leipzig', 'system', 'land', 'wiedervereinigung', 'normal', 'besuchen', 'angucken', 'wahnsinnig', 'echt', 'straße', 'mitkriegen', 'reisen', 'ahnung', 'auto', 'bild', 'unterschied', 'fühlen', 'deutschland', 'welt', 'komisch', 'ost', 'überlegen', 'wussen', 'schule', 'westdeutsch', '90', 'aufarbeitung', 'mittlerweile', 'verändern', 'wahrnehmen', 'aufwachsen', 'bewusst', 'ddrzeit', 'mauerfall', 'fernsehen', 'schön', 'besuch', 'lustig', 'offen', 'wohnen', 'fallen', 'geschichte', 'wendezeit', 'ehemalig', 'bundesland', 'westberliner', 'kreuzberg', 'job', 'ungarn', 'unterhalten', 'bundesrepublik', 'damalig', 'verwandtschaft', 'empfinden', 'zuhause', '1990', 'jugendlich', 'irgendwelcher', 'konstanz']

1 ['arbeit', 'maschine', 'fabrik', 'meister', 'werk', 'betrieb', 'arbeiter', 'bauen', 'herstellen', 'schwer', 'werkstatt', 'stunde', 'schicht', 'verschieden', 'zeit', 'lernen', 'schlosser', 'ingenieur', 'hand', 'halle', 'abteilung', 'vorarbeiter', 'produktion', 'tag', 'reparieren', 'einstellen', 'krieg', 'einsetzen', 'chef', 'technisch', 'arbeitsplatz', 'werkzeug', 'akkord', 'drehen', 'firma', 'kaputt', 'metall', 'verdienen', 'ordnung', 'anlage', 'produzieren', 'material', 'reparatur', 'dreher', 'spät', 'betreiben', 'schmied', 'kennen', 'büro', 'beschäftigen', 'nachtschicht', 'kran', 'schaffen', 'nennen', 'schweißen', 'eisen', 'bau', 'elektriker', 'zeichnung', 'gießerei', 'mechaniker', 'norm', 'mussen', 'werkbank', 'bedienen', 'presse', 'motor', 'tischler', 'elektrisch', 'kessel', 'beruf', 'riesig', 'anfang', 'facharbeiter', 'demontage', 'spezialist', 'gerät', 'blech', 'erklären', 'monteur', 'liefern', 'zeigen', 'fließband', 'kraft', 'pulver', 'labor', 'stahl', 'zack', 'modell', 'demontieren', 'lohn', 'bohren', 'millimeter', 'fehler', 'sauber', 'schraube', 'sabotage', 'werkhalle', 'montieren', 'ahnung']

2 ['meter', 'bauen', 'stein', 'holz', 'arbeit', 'schwer', 'mussen', 'hand', 'wasser', 'erde', 'richtig', 'loch', 'berg', 'dick', 'nennen', 'graben', 'kiste', 'fallen', 'stelle', 'zeit', 'eisen', 'breit', 'sand', 'tag', 'draht', 'fest', 'boden', 'sammeln', 'wagen', 'bretter', 'zement', 'bau', 'maschine', 'hart', 'zentimeter', '50', 'luft', 'löcher', 'spät', 'brechen', 'kopf', 'kilo', 'verlegen', 'straße', 'baum', 'winter', 'hacken', 'material', 'passieren', 'ring', 'bewegen', 'transportieren', 'verbrennen', 'mitte', 'zweiter', 'hammer', 'mauer', 'nägel', 'kette', 'bohren', 'schaffen', 'dach', 'säck', 'form', 'aufgabe', 'sprengen', 'zeigen', 'kilometer', 'grube', 'ziegel', 'wald', 'werfen', 'kalk', 'kaputt', 'stecken', 'schneiden', 'aufstellen', 'feuer', 'tonne', 'haufen', 'sägen', 'laden', 'passen', 'wand', 'bäume', 'drehen', 'beton', 'art', 'bagger', 'dritter', 'schieben', 'kasten', 'extra', 'letzter', 'kippen', 'sommer', 'strom', 'sonne', 'sack', 'schaufeln']

3 ['krupp', 'essen', 'abteilung', 'chef', 'firma', 'herr', 'betrieb', 'büro', 'krieg', 'thyssen', 'spät', 'lachen', 'kollege', 'direktor', 'gehören', 'kennen', 'beschäftigen', 'sekretärin', 'zeit', 'kruppsch', 'arbeit', 'angestellter', 'duisburg', 'heimaterde', 'mülheim', 'dr', 'personalabteilung', 'nennen', 'arbeiter', 'einstellen', 'entlassen', 'hütte', 'übernehmen', 'kruppianer', 'verwaltung', 'arbeitsamt', 'stelle', 'essener', 'sozial', 'arbeitsplatz', 'hamborn', 'borbeck', 'schlecht', 'abteilungsleiter', 'verhältnis', 'damen', 'werk', 'doktor', 'gehalt', 'altendorf', 'hauptsächlich', 'thysse', 'betreiben', 'betriebsrat', 'essenwest', 'personalchef', 'kram', 'lehre', 'urlaub', 'betriebsleiter', 'düsseldorf', 'genossenschaft', 'kündigen', 'einkauf', 'wallram', 'gesamt', 'auftrag', 'kruppschen', 'holsterhausen', 'einzeln', 'widia', 'kaufmännisch', '45', 'blüggel', 'thyssenhütte', 'raum', 'nebenbei', 'kenn', 'bereich', 'herrn', 'verschieden', 'kettwig', 'sogenannter', 'demontieren', '25', 'industrie', 'husten', 'prokurist', 'krankenkasse', 'tag', 'seinerzeit', 'pensionieren', 'verwaltungsgebäude', 'lüttich', 'maschine', 'privat', 'velbert', 'rheinhausen', 'einsetzen', 'auflösen']

4 ['hamburg', 'italienisch', 'italiener', 'italien', 'deutsch', 'hamburger', 'firma', 'arbeiter', 'bahn', 'deutschland', 'mitarbeiter', 'spät', 'herr', 'altona', 'ausländer', 'konsulat', 'harburg', 'ausländisch', 'lübeck', 'sogenannter', 'gewohnen', 'barmbek', 'eppendorf', 'arbeit', 'bahnhof', 'kühn', 'organisieren', 'ipuf', 'weltkrieg', 'tätigkeit', 'wilhelmsburg', 'arbeitsamt', 'mussolini', 'zweiter', 'kennen', 'türke', 'gastarbeiter', 'siebziger', 'sizilien', 'hafen', 'bergedorf', 'käthe', 'anfang', 'bundesbahn', 'kj', 'sechziger', 'ochsenzoll', 'mailand', 'behörde', 'wandsbek', 'terrazzo', 'gruppe', 'saj', 'buchholz', 'blohm', 'rom', 'barmbeker', 'beschäftigen', 'verona', 'grieche', 'stadtteil', 'verbindung', 'kiel', 'hamburgsüd', 'geschäft', 'funkturm', 'sprache', 'georg', 'voss', 'pci', 'wohnheim', 'griechenland', 'türkisch', 'seinerzeit', 'bremen', 'eckhoff', 'dienststelle', 'selbständig', 'arbeitern', 'einstellen', 'st', 'ort', 'chef', 'restaurant', 'winterhude', 'rangierdienst', 'don', 'schluß', 'beziehung', 'abteilung', 'eisenbahn', 'betreuung', 'nähe', 'jugoslawen', 'wentorf', 'lokal', 'münchen', 'auswandern', 'rendsburg', 'kriege']

5 ['gericht', 'akte', 'prozess', 'herr', 'richter', 'urteil', 'verurteilen', 'anwalt', 'stasi', 'rechtsanwalt', 'politisch', 'ddr', 'gesetz', 'verfahren', 'staatsanwalt', 'cottbus', 'berlin', 'ehemalig', 'grund', 'bericht', 'antrag', 'beantragen', 'verhandlung', 'aussage', 'paragraph', 'justiz', 'geschichte', 'ablehnen', 'ministerium', 'jurist', 'zeuge', 'staatssicherheit', 'deutsch', 'landgericht', 'herrn', 'nattke', 'vertreten', 'häftling', 'haft', 'erklären', 'stimmen', 'bundesrepublik', 'strafe', 'aussagen', 'prozesse', 'entschädigung', 'begründung', 'behörde', 'rehabilitierung', 'melden', 'artikel', 'gerichtsverhandlung', 'angeklagter', 'anerkennen', 'unterlage', 'öffentlich', 'verbrechen', 'westberlin', 'leipzig', 'gauck', 'staatsanwaltschaft', 'erfolgen', 'einsperren', 'klage', 'daraufhin', 'mitglied', 'helmut', 'zweiter', 'zeugen', 'verurteilung', 'staat', 'einreichen', 'feststellen', 'beweisen', 'absatz', 'nachweisen', 'republik', 'waldheim', 'bestrafen', 'klagen', 'akt', 'amtsgericht', 'anklagen', 'demokratisch', 'lauschke', 'schriftlich', 'sogenannter', 'bonn', 'unterschreiben', 'aufheben', 'anklage', 'tätigkeit', 'verhaften', 'verfolgen', 'frankfurt', 'gefängnis', 'unrecht', 'gelten', 'mitarbeiter', 'ausschließen']

6 ['jüdisch', 'jude', 'israel', 'erinnern', 'hebräisch', 'religiös', 'synagoge', 'familie', 'lernen', 'kind', 'stadt', 'gemeinde', 'jiddisch', 'nennen', 'rabbiner', 'ort', 'vater', 'holocaust', 'zeit', 'schauen', 'ungarisch', 'orthodox', 'kennen', 'geschichte', 'bruder', 'schule', 'synagog', 'mensch', 'ungarn', 'rabbi', 'feiertag', 'schabbat', 'palästina', 'mädchen', 'spät', 'beten', 'kippur', 'jerusalem', 'gebet', 'religion', 'befinden', 'pessach', 'sprache', 'hören', 'zuhause', 'polen', 'niederlande', 'helfen', 'problem', 'art', 'gehören', 'besuchen', 'wussen', 'krieg', 'jom', 'nichtjude', 'bitten', 'verlassen', 'bar', 'jeschiwa', 'fromm', 'erwähnen', 'verschieden', 'brüder', 'buch', 'auschwitz', 'staat', 'vergessen', 'gruppe', 'straße', 'rosch', 'viertel', 'ordnung', 'richtig', 'überlebend', 'eltern', 'tora', 'schwester', 'unterrichten', 'bedeuten', 'lage', 'jüdin', 'cheder', 'geschäft', 'zurückkehren', 'zweiter', 'antisemitismus', 'großvater', 'schicken', 'kosch', 'haus', 'wohnen', 'judentum', 'zionistisch', 'rumänien', 'pflegen', 'foto', 'interessant', 'hut', 'schön']

