0 ['kirche', 'katholisch', 'evangelisch', 'pfarrer', 'kirchlich', 'christlich', 'pastor', 'religiös', 'gott', 'taufen', 'beten', 'religion', 'gemeinde', 'christ', 'gläubig', 'kind', 'mensch', 'katholik', 'jugendweihe', 'austreten', 'konfirmieren', 'zeit', 'konfirmation', 'gottesdienst', 'erziehen', 'religionsunterricht', 'bibel', 'eltern', 'rolle', 'gehören', 'priester', 'nennen', 'schule', 'predigen', 'bischof', 'streng', 'sonntags', 'fromm', 'jugend', 'gebet', 'heilig', 'geistlich', 'messe', 'kommunion', 'trauen', 'verbieten', 'besuchen', 'kaplan', 'glocke', 'papst', 'jesus', 'konfirmandenunterricht', 'taufe', 'gemeinschaft', 'mitglied', 'christus', 'schließen', 'kreuz', 'welt', 'hingehen', 'kloster', 'letzter', 'christentum', 'elternhaus', 'einstellung', 'gemeinsam', 'reich', 'kirchensteuer', 'konfessionell', 'protestantisch', 'fest', 'protestant', 'schön', 'erzogen', 'nonne', 'kindergottesdienst', 'ikonen', 'konfession', 'bindung', 'interessant', 'entscheiden', 'rom', 'andacht', 'läuten', 'bekennend', 'tisch', 'pater', 'theologie', 'verschieden', 'katholiken', 'versammlung', 'studieren', 'sekt', 'wert', 'erklären', 'ort', 'sünde', 'lernen', 'lehre', 'zwingen']

1 ['ddr', 'westen', 'wende', 'eltern', 'osten', 'prinzip', 'kind', 'lachen', 'erinnern', 'zeit', 'erleben', 'relativ', 'passieren', 'spannend', 'mauer', 'dresden', 'merken', '89', 'familie', 'politisch', 'mitbekommen', 'berlin', 'gefühl', 'grenze', 'system', 'land', 'kennen', 'super', 'west', 'stasi', 'richtig', 'leipzig', 'richtung', 'fernsehen', 'interessant', 'wussen', 'geschichte', 'normal', 'fühlen', 'wiedervereinigung', 'unterschied', 'ddrzeit', 'deutschland', 'echt', 'freund', 'angucken', 'bild', 'komisch', 'wahrnehmen', 'empfinden', 'ahnung', 'spät', 'bewusst', 'aufarbeitung', 'schule', 'jugendlich', 'westdeutschland', '90', 'welt', 'westdeutsch', 'wendezeit', 'ungarn', 'aufwachsen', 'mitkriegen', 'reden', 'offen', 'überlegen', 'stadt', 'ost', 'diskutieren', 'beschreiben', 'diskussion', 'westberlin', 'kontakt', 'damalig', 'verändern', 'fernseher', 'vermissen', 'ort', 'bundesland', 'ehemalig', 'medium', 'rüber', 'reisen', 'positiv', 'fallen', 'staat', 'unterhalten', 'verwandtschaft', 'ostdeutschland', '1990', 'interessiert', 'erwähnen', 'meinung', 'eindruck', 'westlich', 'mauerfall', 'generation', 'angst', 'zuhause']

2 ['arbeit', 'maschine', 'fabrik', 'meister', 'werk', 'betrieb', 'schwer', 'arbeiter', 'herstellen', 'bauen', 'schicht', 'zeit', 'werkstatt', 'tag', 'hand', 'stunde', 'verschieden', 'ingenieur', 'abteilung', 'schlosser', 'firma', 'vorarbeiter', 'reparieren', 'drehen', 'produktion', 'material', 'lernen', 'halle', 'technisch', 'eisen', 'werkzeug', 'arbeitsplatz', 'anlage', 'kran', 'metall', 'spät', 'kennen', 'krieg', 'akkord', 'einsetzen', 'elektrisch', 'reparatur', 'dreher', 'kaputt', 'betreiben', 'blech', 'motor', 'nennen', 'elektriker', 'produzieren', 'öfen', 'beschäftigen', 'ordnung', 'nachtschicht', 'ofen', 'einstellen', 'chef', 'tonne', 'gerät', 'büro', 'norm', 'schweißen', 'schmied', 'stahl', 'hütte', 'bedienen', 'form', 'gehören', 'gießerei', 'liefern', 'kessel', 'demontieren', 'mechaniker', 'zeigen', 'werkbank', 'leitung', 'sabotage', 'verdienen', 'aufbauen', 'demontage', 'dritter', 'presse', 'fließband', 'pulver', 'millimeter', 'mussen', 'anfang', 'mechanisch', 'facharbeiter', 'zeichnung', 'lohngruppe', 'schaffen', 'messen', 'dinger', 'lohn', 'modell', 'minute', 'riesig', 'beruf', 'aufgabe']

3 ['professor', 'klacken', 'bibliothek', 'freiburg', 'herr', 'kollege', 'student', 'universität', 'philosophie', 'jurist', 'münchen', 'studieren', 'bonn', 'promovieren', 'hintergrund', 'uni', 'spät', 'leises', 'göttingen', 'wissenschaftlich', 'schön', 'rums', 'kennen', 'köln', 'examen', 'leise', 'interessant', 'deutsch', 'bücher', 'rascheln', 'münster', 'institut', 'prof', 'fakultät', 'fach', 'schmunzeln', 'stelle', 'ulm', 'vortrag', 'vorlesung', 'berlin', 'hintergrundgeräusch', 'jura', 'verbindung', 'studium', 'seminar', 'amüsieren', 'semester', 'wissenschaft', 'akademie', 'konstanz', 'lernen', 'habilitieren', 'berühmt', 'medizin', 'hagen', 'literatur', 'wissenschaftler', 'dr', 'speyer', 'ruf', 'bochum', 'studierend', 'akademisch', 'tübingen', 'promotion', 'amüsiert', 'system', 'amüsiern', 'japanisch', 'spannend', 'beckmann', 'idee', 'referendarzeit', 'referendar', 'riesig', 'geräusch', 'gelten', 'assistent', 'dissertation', 'marburg', 'jahrhundert', 'mainz', 'deutschland', 'heidelberg', 'zeitschrift', 'staatsexamen', 'lüdenscheid', 'unwahrscheinlich', 'heidegger', 'professur', 'philosoph', 'hochschullehrer', 'edv', 'prüfen', 'interessiert', 'klacke', 'eng', 'yale', 'wegener']

4 ['betrieb', 'bitterfeld', 'lachen', 'werk', 'rabenstein', 'chemnitz', 'gehören', 'stadt', 'betreiben', 'kombinat', 'karlmarxstadt', 'wolf', 'leipzig', 'filmfabrik', 'sowjetisch', 'bgl', '45', 'übernehmen', 'maschine', 'kollektiv', 'drüben', 'produktion', 'einsetzen', 'dresden', 'arbeit', 'siegmar', 'halle', 'arbeiter', 'tag', 'wismut', 'ort', 'polar', 'volkseigen', 'ddr', 'meister', 'direktor', 'wolfen', 'gewerkschaft', 'handschuhe', 'brigade', 'chef', 'privat', 'gemeinde', 'verwaltung', 'farbenfabrik', 'nennen', 'industrie', 'dessau', 'lernen', 'privatbetrieb', 'arbeitskraft', 'rathaus', 'damalig', 'technik', 'chemiekombinat', 'funktion', '50er', 'leiter', 'normal', 'leiten', 'heimarbeit', 'anfang', 'werktätig', 'merkel', 'erzgebirge', 'sozialistisch', 'stricken', 'entwickeln', 'sandersdorf', 'handschuh', 'karl', 'staatlich', 'zuhause', 'richtung', 'technisch', 'rat', 'garnicht', 'marx', 'jeßnitz', 'sterben', 'sowjetunion', 'kraft', 'veb', 'herstellen', 'generell', 'mitarbeiten', 'schaffen', 'fünfundvierzig', 'kultur', 'zentral', 'sogenannter', 'gärtnerei', 'enorm', 'plau', 'bereich', '49', 'betriebsteil', 'entwicklung', 'auto', 'junghans']

5 ['schule', 'klasse', 'lehrer', 'schüler', 'lernen', 'gymnasium', 'unterricht', 'lehrerin', 'kind', 'eltern', 'unterrichten', 'spät', 'mädchen', 'grundschule', 'abitur', 'schulzeit', 'erinnern', 'volksschule', 'schuljahr', 'besuchen', 'zeit', 'oberschule', 'vierter', 'zehnter', 'fünfter', 'direktor', 'achter', 'zweiter', 'richtig', 'realschule', 'deutsch', 'englisch', 'geschichte', 'schlecht', 'neunter', 'sechster', 'mittelschule', 'stunde', 'normal', 'dritter', 'einschulen', 'mathematik', 'schulleiter', 'jungs', 'gerne', 'latein', 'fallen', 'siebter', 'hauptschule', 'schülerin', 'beibringen', 'internat', 'fach', 'rektor', 'französisch', 'streng', 'sprache', 'russisch', 'prüfung', 'wechseln', 'fächer', 'note', 'mitschüler', 'klassenlehrer', 'schulklasse', 'erinnerung', 'ausbildung', 'mathe', 'letzter', 'rechnen', 'kennen', 'zeugnis', 'nennen', 'schulrat', 'bildung', 'physik', 'nachmittags', 'tafel', 'feri', 'anfang', 'erklären', 'dorf', 'versetzen', 'problem', 'schülerinn', 'lehrerinn', 'fräulein', 'mittlerer', 'hausaufgabe', 'auswendig', 'elfter', 'schicken', 'freundin', 'studieren', 'bücher', 'klassenkamerad', 'schulhof', 'vater', 'schließen', 'oberstufe']
