0 ['keller', 'bombe', 'flugzeug', 'bunker', 'fliegen', 'krieg', 'haus', 'angriff', 'bombardieren', 'fallen', 'bombenangriff', 'hören', 'alarm', 'treffen', 'brennen', 'kaputt', 'stadt', 'zerstören', 'schlimm', 'flieger', 'schießen', 'spät', 'passieren', 'erleben', 'angst', 'nähe', 'fliegeralarm', 'luftschutzkeller', 'straße', 'transkript', 'evakuieren', 'amerikaner', 'tot', 'nachts', 'bomben', 'umkommen', 'ausgebombt', 'zerbombt', 'erinnern', 'luftangriffe', '43', 'pilot', 'luft', 'verbrennen', 'abschießen', 'splitter', 'letzter', 'schrecklich', 'explodieren', 'engländer', 'retten', 'kind', 'bauen', 'wohnen', 'tag', 'erde', 'amerikanisch', 'furchtbar', 'tiefflieger', 'luftangriff', 'bombardierung', 'dach', 'feuer', 'stelle', 'trümmer', 'werfen', 'himmel', 'siren', 'flamme', 'schwer', '44', '1944', 'flughafen', 'nah', 'bombardiern', 'maschine', 'meter', 'rannen', '45', 'springen', 'gott', 'brennend', 'dick', 'abwerfen', 'dresden', 'brandbombe', 'schutt', 'flak', 'verletzen', 'tote', 'beschießen', 'löschen', 'kriegsend', 'bomber', 'angreifen', 'zweiter', 'fenster', 'beschädigen', 'brand', 'verbinden']

1 ['fernuniversität', 'herr', 'hagen', 'universität', 'lachen', 'professor', 'fernuni', 'fernstudium', 'hochschule', 'atmen', 'klacken', 'kollege', 'rektor', 'student', 'rau', 'betonen', 'ministerium', 'peters', 'bibliothek', 'gründungsausschuss', 'projekt', 'bartz', 'wissenschaftlich', 'fachbereich', 'kanzler', 'fachhochschule', 'fakultät', 'weiterbildung', 'kurs', 'anfang', 'verwaltung', 'studienbrief', 'spät', 'zfe', 'mitarbeiter', 'johannes', 'aufgabe', 'institut', 'university', 'stelle', 'studierend', 'studienzentren', 'bochum', 'forschung', 'herrn', 'uni', 'leises', 'senat', 'berufen', 'idee', 'bonn', 'schmunzeln', 'prof', 'rums', 'rechenzentrum', 'fach', 'anbieten', 'system', 'zentrum', 'rektorat', 'didaktisch', 'medium', 'lehre', 'hintergrund', 'aufbauen', 'tübingen', 'kontakt', 'nordrheinwestfalen', 'hochschullehrer', 'land', 'villa', 'elektrotechnik', 'klappen', 'gebäude', 'zentral', 'erfahrung', 'otto', 'jurist', 'wissenschaft', 'akademisch', 'entwickeln', 'referent', 'rascheln', 'köln', 'batti', 'gesamthochschule', 'entwicklung', 'international', 'studienzentrum', 'lehrstuhl', 'didaktik', 'gründung', 'mathematik', 'übernehmen', 'aufbau', 'gutachten', 'erinnern', 'wirtschaftswissenschaft', 'erziehungswissenschaft', 'mittlerweile']

2 ['lager', 'deutsch', 'arbeit', 'fabrik', 'erinnern', 'deutsche', 'baracke', 'essen', 'barack', 'stadt', 'mensch', 'tag', 'werk', 'franzose', 'russe', 'deutschland', 'schicken', 'polen', 'schlagen', 'mädchen', 'russisch', 'fliehen', 'führen', 'wohnen', 'zimmer', 'spät', 'verschieden', 'jungs', 'kriegsgefangen', 'pole', 'brot', 'polizist', 'schlecht', 'stacheldraht', 'zeit', 'arbeiter', 'trennen', 'zweiter', 'kantine', 'konzentrationslager', 'bestrafen', 'ost', 'bauer', 'nähe', 'kennen', 'waggon', 'amerikaner', 'kleidung', 'gefangener', 'behandeln', 'bewachen', 'wussten', 'wald', 'wache', 'ukrainer', 'tscheche', 'zaun', 'nummer', 'ort', 'zeigen', 'art', 'schauen', 'zeichen', 'unterbringen', 'befreien', 'dachau', 'karte', 'unterhalten', 'streng', 'befinden', 'abholen', 'beschreiben', 'ausländer', 'helfen', 'front', 'italiener', 'vergessen', 'freiwillig', 'kz', 'separat', 'gefangen', 'sauber', 'verstecken', 'treiben', 'morgens', 'straflager', 'tor', '1943', 'ukraine', 'erlauben', 'polnisch', 'bett', 'reden', 'kommandant', 'aufseher', 'gebäude', 'nennen', 'küche', 'wachmann', 'bestimmen']

3 ['hamburg', 'kiel', 'hamburger', 'dänemark', 'schleswig', 'lübeck', 'gruppe', 'flensburg', 'holstein', 'altona', 'dänisch', 'engländer', 'wohnen', 'schwerin', 'straße', 'eppendorf', 'kopenhagen', 'erich', 'barmbek', 'marine', 'schleswigholstein', 'hafen', 'gewohnen', 'kj', 'saj', 'bremen', 'kaserne', 'jugendherberge', 'nennen', 'käthe', 'harburg', 'rendsburg', 'lüneburg', 'walter', 'englisch', 'ochsenzoll', 'kapitulation', 'wandsbek', 'heinrich', 'st', 'blohm', 'elmshorn', 'werner', 'barmbeker', 'voss', 'heinz', 'wilhelm', 'letzter', 'eckernförde', 'helmut', 'stadtteil', 'funkturm', 'fuß', 'bauer', 'lüneburger', 'lokal', 'kapitel', 'proletarier', 'kneipe', 'schweden', 'heide', 'schiff', 'mecklenburg', 'däne', 'landen', 'offenbacher', 'boot', 'kahn', 'winterhude', 'victor', 'ecke', 'aba', 'marie', 'berlin', 'geesthacht', 'willi', 'wentorf', 'weltkrieg', 'existieren', 'jalaß', 'mannheim', 'wedel', 'esther', 'nett', 'betteln', 'absolut', 'kasern', 'pauli', 'schluß', 'karolinenstraße', 'gängeviertel', 'martha', 'neumünster', 'neuengamme', 'günter', 'irene', 'eimsbüttel', 'bergedorf', 'ostfriesland', 'ilse']

4 ['gefängnis', 'zelle', 'verhaften', 'tag', 'verurteilen', 'bautzen', 'russe', 'entlassen', 'verhören', 'spät', 'gefangener', 'einsperren', 'offizier', 'russisch', 'waldheim', 'keller', 'unterschreiben', 'verhaftung', 'wussen', 'haft', 'werwolf', 'deutsch', 'sowjetisch', 'vernehmung', 'erfahren', 'zeit', 'woche', 'verhör', 'cottbus', 'zuchthaus', 'stasi', 'wussten', 'ehemalig', 'entlassung', 'zellen', 'politisch', 'strafe', 'knast', 'ddr', 'sogenannter', 'polizei', '25', 'protokoll', 'halle', 'saal', 'gestapo', 'vernehmen', 'dolmetscherin', 'grund', 'brandenburg', 'nennen', 'spion', 'berlin', 'schlimm', 'erschießen', 'gruppe', 'nkwd', 'einzelhaft', 'lager', 'posten', 'volkspolizei', 'abholen', 'häftling', 'spitzel', 'transport', 'westen', 'spremberg', 'wand', 'inhaftieren', 'bautze', 'gehören', 'zeitung', 'verhöre', 'dresden', 'daraufhin', 'polizist', 'major', 'arrest', 'denunzieren', 'spionage', 'kontakt', 'buchenwald', 'rot', 'angeblich', 'dolmetsch', 'verbrecher', 'kriminell', 'verlegen', 'nachts', 'hoheneck', 'fenster', 'kommunist', 'rauskommen', 'vorgelesen', 'dritter', 'stunde', 'schildern', 'sachsenhause', 'verurteilung', 'schlagen']

5 ['', 'jüdisch', 'deutschland', 'haifa', 'holland', 'kibbuz', 'lachen', 'jude', 'hamm', 'lachend', 'berlin', 'jugendbewegung', 'freund', 'palästina', 'zionistisch', 'richtig', 'dortmund', 'schrecklich', 'hebräisch', '33', 'leo', 'sogenannter', 'christlich', 'essen', 'köln', 'militär', 'aviv', 'tel', 'england', 'schicken', 'polizei', 'schlecht', 'deutsch', 'münster', 'illegal', 'israel', 'geschichte', 'jerusalem', 'gehören', 'pension', 'nennen', '36', 'zertifikat', 'stettin', 'lehrer', 'auswandern', 'engländer', 'arabisch', 'beamter', 'nett', '35', '34', 'studieren', 'weltkrieg', 'weggehen', 'beschließen', '37', 'fabrik', '1937', 'wunderbar', 'pfund', 'zukunft', 'berühmt', 'universität', 'jungens', 'cousine', 'amerika', 'student', 'krefeld', '000', '1935', 'kulturbund', 'zionist', 'führer', 'gründen', 'arzt', 'auswanderung', 'zionismus', '1933', 'äthiopien', 'schluss', 'umkommen', '1936', 'vati', 'israelisch', 'rabbiner', 'gemeinde', 'altersheim', 'hauptsächlich', 'levison', 'landwirtschaftlich', '1934', 'frankfurt', 'mädels', 'feri', 'nazi', 'ulm', 'schwägerin', 'waisenhaus', 'wien']
