0 ['winter', 'kalt', 'schnee', 'sommer', 'holz', 'warm', 'ofen', 'heizen', 'herbst', 'kälte', 'wasser', 'arbeit', 'tag', 'schwer', 'regen', 'eis', 'frühjahr', 'wetter', 'regnen', 'mussen', 'feuer', 'füße', 'kohle', 'frost', 'gefroren', 'fuß', 'schlitt', 'zeit', 'wind', 'fallen', 'frühling', 'heiß', 'kleidung', 'kilometer', 'frieren', 'nass', 'wald', 'anziehen', 'hart', 'erfrieren', 'schuh', 'heizung', 'berg', 'sonne', 'zelt', 'decken', 'öfen', 'nachts', 'sammeln', 'bein']

1 ['amerikaner', 'deutsch', 'soldat', 'amerikanisch', 'franzose', 'engländer', 'krieg', 'gefangenschaft', 'offizier', 'englisch', 'französisch', 'russe', 'armee', 'sowjetisch', 'frankreich', 'lager', 'ami', 'amerika', 'zone', 'russisch', '45', 'deutsche', 'besatzung', 'deutschland', 'besetzen', 'truppe', 'britisch', 'wussten', 'bevölkerung', 'kriegsgefangen', '1945', 'neger', 'spät', 'schwarz', 'gebiet', 'schokolade', 'engländern', 'kriegsgefangenschaft', 'alliierter', 'gefangener', 'befreiung', 'befreien', 'entlassen', 'gefangen', 'kriegsend', 'besatzungszone', 'besatzungsmacht', 'rot', 'grenze', 'verlieren']

2 ['soldat', 'offizier', 'einheit', 'tag', 'militär', 'general', 'armee', 'uniform', 'militärisch', 'melden', 'wehrmacht', 'truppe', 'front', 'leutnant', 'dienst', 'kompanie', 'verwunden', 'lazarett', 'hauptmann', 'ausbildung', 'einsatz', 'russland', 'kaserne', 'ausbilden', 'unteroffizier', 'einsetzen', 'bundeswehr', 'befehl', 'major', 'einziehen', 'waffe', 'division', 'feldwebel', 'berlin', 'schießen', '44', 'freiwillig', 'woche', '43', 'zeit', 'gefangenschaft', 'arbeitsdienst', 'krieg', 'bataillon', 'kamerad', 'letzter', 'waffenss', 'marschieren', 'oberleutnant', 'ss']

3 ['studieren', 'studium', 'abitur', 'universität', 'student', 'semester', 'ausbildung', 'hochschule', 'prüfung', 'zeit', 'uni', 'professor', 'examen', 'abschließen', 'lernen', 'institut', 'beruf', 'abschluss', 'diplom', 'spät', 'zweiter', 'berlin', 'absolvieren', 'praktikum', 'medizin', 'beworben', 'stelle', 'relativ', 'vorlesung', 'schule', 'staatsexamen', 'jura', 'technisch', 'kurs', 'fakultät', 'pädagogisch', 'beenden', 'ablegen', 'aufnehmen', 'mathematik', 'fach', 'münster', 'studienjahr', 'bewerben', 'arbeit', 'studienplatz', 'kennen', 'dozent', 'aufnahmeprüfung', 'gehören']

4 ['hamburg', 'hannover', 'kiel', 'bremen', 'schleswig', 'lager', 'dänemark', 'hamburger', 'engländer', 'berlin', 'lübeck', 'flensburg', 'holstein', 'braunschweig', 'wohnen', 'schleswigholstein', 'bad', 'kennen', 'altona', 'englisch', 'niedersachsen', 'kaserne', 'letzter', 'pyrmont', 'neintaf', 'flüchtling', 'dänisch', 'bauer', 'hildesheim', 'vogel', 'landen', 'aufnehmen', 'hameln', 'zwitschern', 'schwerin', 'heide', 'harburg', 'nähe', 'überlegen', 'freundin', 'fuß', 'eppendorf', 'herford', 'gewohnen', 'rendsburg', 'eckernförde', 'lüneburg', 'elbe', 'ostfriesland', 'voss']

5 ['wahr', 'spät', 'geschichte', 'kuckuck', 'herr', 'kollege', 'fünfziger', 'kennen', 'schlecht', 'augenblick', 'komisch', 'normal', 'stottern', 'seinerzeit', 'eventuell', 'verschieden', 'tonqualität', 'verhältnismäßig', 'dinger', 'angeblich', 'schluß', 'sogenannter', 'normalerweise', 'zeugs', 'weltkrieg', 'drüben', 'zeigen', 'selbstständig', 'stotternd', 'heiter', 'dreimal', 'warschau', 'verbinden', 'stelle', 'vierzehn', 'kucken', 'gefahrn', 'kettwig', 'blättergeräusche', 'kriege', 'handwerker', 'kenn', 'seh', 'poln', 'alfred', 'verwaltung', 'menge', 'gelten', 'schmunzeln', 'ehemalig']
