0 ['jüdisch', 'jude', 'erinnern', 'religiös', 'synagoge', 'hebräisch', 'israel', 'vater', 'familie', 'rabbiner', 'jiddisch', 'gemeinde', 'nennen', 'orthodox', 'synagog', 'ort', 'rabbi', 'lernen', 'kind', 'stadt', 'schabbat', 'feiertag', 'beten', 'pessach', 'kippur', 'religion', 'mensch', 'fest', 'zuhause', 'schule', 'jom', 'jeschiwa', 'essen', 'ungarisch', 'gebet', 'spät', 'schwester', 'befinden', 'art', 'bar', 'mädchen', 'bruder', 'helfen', 'tora', 'fromm', 'rosch', 'nichtjude', 'cheder', 'ungarn', 'kosch']

1 ['arbeit', 'zeit', '33', 'arbeitslos', '34', '36', '35', 'arbeitslosigkeit', 'arbeitslose', '38', '37', '32', 'vater', 'arbeitsamt', 'hitler', 'straße', '39', 'arbeitsdienst', 'geld', '29', '1933', 'pfennig', '25', 'woche', 'erwerbslos', '1934', 'weltwirtschaftskrise', 'entlassen', '1932', 'beruf', 'million', 'schule', 'mussen', '30er', 'zeitung', '27', 'entsinnen', 'jugend', 'stempeln', '1930', 'verdienen', 'schlecht', 'krise', 'melden', 'nazi', '24', 'arm', 'stelle', 'politisch', 'stempelgeld']

2 ['jude', 'jüdisch', 'ghetto', 'mensch', 'familie', 'tag', 'erinnern', 'stadt', 'wussten', 'deutsche', 'deutsch', 'freund', 'überleben', 'jüdin', 'krieg', 'hören', 'spät', 'zeit', 'haus', 'verstecken', 'wussen', 'passieren', 'geschäft', 'straße', 'retten', 'arbeit', 'polen', 'umbringen', 'ort', 'weiss', 'stern', 'kristallnacht', 'gemeinde', 'gehören', 'geschehen', 'deportieren', 'getto', 'synagoge', 'antisemitismus', 'ermorden', 'auschwitz', 'reich', 'grodno', 'erfahren', 'israel', 'verlassen', 'kind', 'abholen', 'helfen', 'vater']

3 ['flugzeug', 'fliegen', 'flieger', 'flughafen', 'pilot', 'bombardieren', 'flugplatz', 'bombe', 'abschießen', 'amerikanisch', 'landen', 'hören', 'treffen', 'maschine', 'luftwaffe', 'schießen', 'flug', 'nähe', 'amerikaner', 'abstürzen', 'luft', 'fallschirm', 'abwerfen', 'bauen', 'englisch', 'engländer', 'england', 'rakete', 'himmel', 'flak', 'höhe', 'bomber', 'boden', 'bombardiern', 'motor', 'angreifen', 'scheinwerfer', 'ruhig', 'ziel', 'bomben', 'bombenangriff', 'fliegerei', 'drehen', 'stürzen', 'flügel', 'werfen', 'benzin', 'segelflieger', 'meter', 'jäger']

4 ['hitler', 'heil', 'fahne', 'nazi', 'führer', 'grüßen', 'erinnern', 'adolf', 'deutsch', 'krieg', 'lachen', 'nationalsozialismus', 'gehören', 'erleben', 'uniform', 'sammeln', 'göring', 'blockwart', 'mussen', 'straße', 'tag', 'nennen', 'volk', 'goebbels', 'morgens', 'sa', 'fallen', 'reden', 'nationalsozialistisch', 'bdm', 'wussen', 'arm', 'nazizeit', 'mitkriegen', 'begeistert', 'herr', 'kennen', 'nsdap', 'rosenberg', 'braun', 'merken', 'marschieren', 'hießen', 'reich', 'jude', 'berlin', 'partei', 'erlebnis', 'gauleiter', '1933']

5 ['', 'jüdisch', 'deutschland', 'holland', 'hamm', 'jude', 'haifa', 'zionistisch', 'jugendbewegung', 'freund', 'lachen', 'lachend', 'essen', 'richtig', 'leo', 'sogenannter', 'deutsch', 'berlin', 'geschichte', '33', 'gehören', 'dortmund', 'schicken', 'schrecklich', 'normal', 'palästina', 'köln', 'auswandern', 'fabrik', 'christlich', 'stettin', 'lehrer', 'hebräisch', 'universität', 'antisemitismus', 'illegal', 'berühmt', 'militär', 'schlecht', '36', 'aviv', 'tel', 'weltkrieg', 'wussen', 'schwägerin', 'weggehen', 'nennen', 'student', 'führer', 'jerusalem']

6 ['geld', 'kaufen', 'bezahlen', 'verdienen', 'kosten', 'pfennig', 'verkaufen', 'teuer', 'sparen', 'billig', 'zeit', 'zahlen', 'ausgeben', 'tag', 'schön', 'arbeit', 'essen', 'geschäft', 'arm', 'einkaufen', '50', 'helfen', 'woche', 'abgeben', 'taschengeld', 'leisten', 'preis', 'wert', '40', 'krieg', 'schlecht', 'laden', 'reich', 'mensch', 'groschen', 'möbel', 'besorgen', 'schicken', 'anschaffen', '25', 'reichen', 'markt', 'lohn', 'verlieren', 'mitbringen', 'schenken', 'währung', 'lebensmittel', 'umsonst', 'anfang']

7 ['zeit', 'frage', 'verhältnis', 'spät', 'schlecht', 'gehören', 'richtig', 'problem', 'erleben', 'positiv', 'normal', 'anfang', 'ändern', 'kennen', 'empfinden', 'erinnern', 'negativ', 'verändern', 'unterschied', 'mensch', 'schwierigkeit', 'stimmen', 'fallen', 'beziehung', 'art', 'erfahrung', 'gewiß', 'erinnerung', 'kontakt', 'mitkriegen', 'versuchen', 'wesentlich', 'grund', 'merken', 'eindruck', 'besonderer', 'sogenannter', 'grunde', 'sinn', 'rolle', 'relativ', 'damalig', 'hart', 'bestimmen', 'hören', 'schwer', 'ehrlich', 'gott', 'ansehen', 'selten']

8 ['papier', 'unterschreiben', 'pass', 'ausweis', 'bescheinigung', 'stempel', 'tag', 'dokument', 'unterschrift', 'ausstellen', 'eintragen', 'antrag', 'ausfüllen', 'polizei', 'schein', 'registrieren', 'pässe', 'abgeben', 'zeigen', 'melden', 'zettel', 'ordnung', 'genehmigung', 'spät', 'geburtsurkunde', 'formular', 'abholen', 'ausweise', 'anmelden', 'passierschein', 'beantragen', 'vorlegen', 'bestätigen', 'behörde', 'amt', 'personalausweis', 'sammeln', 'unterlage', 'kontrollieren', 'nummer', 'karte', 'kontrolle', 'schwierigkeit', 'gebären', 'adresse', 'gültig', 'entlassen', 'erklären', 'hingehen', 'liste']

9 ['schule', 'lehrer', 'klasse', 'schüler', 'gymnasium', 'abitur', 'unterricht', 'unterrichten', 'lehrerin', 'oberschule', 'mathematik', 'schulleiter', 'pädagogisch', 'zehnter', 'spät', 'ausbildung', 'realschule', 'direktor', 'grundschule', 'eltern', 'geschichte', 'fach', 'prüfung', 'studieren', 'stunde', 'latein', 'richtig', 'lernen', 'internat', 'studium', 'schulzeit', 'physik', 'deutsch', 'neunter', 'volksschule', 'mathe', 'schuljahr', 'hauptschule', 'fächer', 'chemie', 'kollege', 'schulrat', 'oberstufe', 'biologie', 'fächern', 'englisch', 'französisch', 'elfter', 'feri', 'gesamtschule']

10 ['auto', 'fahrrad', 'wagen', 'motorrad', 'straße', 'führerschein', 'fahrer', 'fahrzeug', 'kaufen', 'lkw', 'kilometer', 'warten', 'fahrräder', 'benzin', 'tag', 'kaputt', 'motor', 'unterwegs', 'freund', 'mercedes', 'opel', 'rad', 'fahrt', 'fahrn', 'wartburg', 'lastwagen', 'autobahn', 'fest', 'reparieren', 'pkw', 'passieren', 'abholen', 'anhalten', 'anfahren', 'parkplatz', 'moped', 'garage', 'trabant', 'tankstelle', 'unfall', 'gas', 'autos', 'strecke', 'sprit', 'bus', 'hingefahren', 'ruhig', 'werkstatt', 'anhänger', 'anmelden']

11 ['papier', 'peter', 'minen', 'stift', 'bleistift', 'blatt', 'mine', 'marianne', 'heft', 'hans', 'knopf', 'gabriel', 'feder', 'kugelschreiber', 'zettel', 'drücken', 'aufgeschrieben', 'berliner', 'blätter', 'tinte', 'abkleben', 'umschlag', 'brigitte', 'braut', 'angeblich', 'blau', 'entdecken', 'luft', 'bleistifte', 'test', 'sprecher', 'hol', 'reichen', 'klo', 'jugoslawe', 'aufschreiben', 'versuchen', 'füllhalter', 'lebenslauf', 'nass', 'füller', 'auffallen', 'angeben', 'reingestecken', 'hefte', 'professor', 'nachname', 'sankt', 'zeitungspapier', 'schmied']

12 ['zug', 'waggon', 'bahnhof', 'tag', 'mensch', 'essen', 'ankommen', 'unterwegs', 'stadt', 'deutschland', 'wagen', 'richtung', 'transport', 'fahrt', 'station', 'wussten', 'erinnern', 'transportieren', 'fuß', 'verladen', 'tür', 'spät', 'offen', 'woche', 'wasser', 'ort', 'trennen', 'soldat', 'fenster', 'züge', 'eisenbahn', 'warten', 'lager', 'treiben', 'einsteigen', 'aussteigen', 'mussen', 'bahn', 'wagon', 'dauern', 'nähe', 'laden', 'güterzug', 'unterbringen', 'gepäck', 'kilometer', 'lkws', 'ausladen', 'ankamen', 'platz']

13 ['schießen', 'panzer', 'waffe', 'gewehr', 'tag', 'richtung', 'soldat', 'pistole', 'munition', 'stellung', 'passieren', 'letzter', 'maschinengewehr', 'kämpfen', 'posten', 'schuss', 'truppe', 'erschießen', 'luft', 'sprengen', 'artillerie', 'meter', 'feuer', 'kilometer', 'granat', 'angriff', 'hören', 'hand', 'fallen', 'marschieren', 'maschinenpistole', 'tot', 'schützen', 'kugel', 'karabiner', 'stunde', 'geschütze', 'schoss', 'einheit', 'beschießen', 'militärisch', 'abgeben', 'kampf', 'angreifen', 'kanon', 'höhe', 'verteidigen', 'nah', 'kommandeur', 'abend']

14 ['geld', 'bezahlen', 'zahlen', 'haus', 'verkaufen', 'kosten', 'kaufen', 'million', 'staat', 'bauen', 'grundstück', 'steuer', 'gehören', 'schuld', 'übernehmen', 'grund', 'kredit', 'wert', 'bank', 'preis', 'finanziell', 'firma', 'erbe', 'eigentum', 'gesetz', 'miete', 'unterschreiben', 'entschädigung', 'euro', 'prozent', 'schwierigkeit', 'konto', 'rechtsanwalt', 'zins', 'investieren', 'versicherung', 'verlieren', 'summe', 'anwalt', '5000', 'erben', 'finanzamt', 'verlangen', 'dm', 'gesellschaft', 'gewinn', 'kümmern', 'knapp', '20000', 'dmark']

15 ['wien', 'österreich', 'bulgarisch', 'jüdisch', 'bulgarien', 'jude', 'sofia', 'gruppe', 'dobritsch', 'österreichisch', 'graz', 'chaskowo', 'lager', 'erinnern', 'foto', 'arbeitsgruppe', 'warna', 'herzi', 'arbeit', 'mitglied', 'plowdiw', 'linz', 'zelt', 'österreicher', 'wiener', 'schicken', 'israel', 'jambol', 'direktor', 'befinden', 'buchhalter', 'freund', 'david', 'norm', 'rms', 'erfahren', 'zuvor', 'vergessen', 'mauthause', '1940', 'gesetz', 'türkisch', 'mitgift', 'oberst', 'rumänisch', 'bulgar', 'koen', 'konzentrationslager', 'disziplinartruppe', 'rumänien']

16 ['hermann', 'lachen', 'reusch', 'göring', 'adenauer', 'herr', 'alliierter', 'bien', 'schacht', 'imker', 'ferrostahl', 'mitbestimmung', 'industrie', 'ferrostaal', 'konrad', 'deutsch', 'stahlwerk', 'nölting', 'verhältnis', 'emden', 'konzern', 'klöckner', 'demontage', 'berg', 'hoffnungshütte', 'imkerei', 'heinrich', 'unternehmer', 'fritz', 'spät', 'gespräch', 'kleingärtner', 'verband', 'ghh', 'erhard', 'schweinitz', 'stahl', 'velt', 'theorie', 'vorstand', 'entflechtung', 'linker', '100000', 'husten', 'hein', 'wirtschaftsministerium', 'sparte', 'hesse', 'verhandlung', 'freikorps']

17 ['krieg', 'mama', 'stadt', 'erinnern', 'mutter', 'papa', 'straße', 'armee', 'charkow', 'spät', 'gebiet', 'vater', 'kiew', 'deutschland', 'rostow', 'wohnen', 'nina', 'sterben', 'schicken', 'leningrad', 'dienen', 'familie', 'gebären', 'helfen', 'ukraine', 'taganrog', 'andrej', 'wohnung', '1941', 'schule', 'dorf', 'mischa', 'rubel', 'beenden', 'krasnodar', 'olga', 'anna', 'ukrainisch', 'mädchen', 'revolution', 'zurückkehren', 'gott', 'großmutter', 'überleben', 'galina', 'moskau', 'nikolai', 'institut', 'befinden', 'abschließen']

18 ['praxis', 'wuppertal', 'patient', 'klinik', 'grunde', 'fulda', 'köln', 'bonn', 'kollege', 'professor', 'lachend', 'krankenhaus', 'arzt', 'chef', 'vorlesend', 'erleben', 'godesberg', 'innerer', 'kollegin', 'relativ', 'elberfeld', 'würzburg', 'chefarzt', 'chirurgie', 'ausbildung', 'barmen', 'station', 'städtisch', 'oberarzt', 'leise', 'psychiatrisch', 'polyklinik', 'nervenklinik', 'psychiatrie', 'chirurg', 'absolut', 'anderthalb', 'psychotherapie', 'facharzt', 'kölner', 'halle', 'staatsexamen', 'medizin', 'assistent', 'besprechen', 'niederlassen', 'penicillin', 'barmer', 'psychiater', '40']

19 ['bandzerrung', 'ring', 'mensch', 'vogel', 'aussage', 'parallel', 'bentheim', 'herr', 'zwitschern', 'kennen', 'ringe', 'draht', 'herbert', 'krupp', 'duzen', 'hannes', 'reden', 'betriebsführer', 'karl', 'abteilung', 'bandfehler', 'walzwerk', 'betrieb', 'räusperen', 'männlein', 'kollege', 'bescheid', 'dünn', 'borbeck', 'rudolf', 'geduzt', 'straße', 'mikrophon', 'stange', 'meister', 'bandsprung', 'weiblein', 'gustav', 'altendorf', 'passen', 'ata', 'blech', 'büro', 'leise', 'bude', 'nazi', 'dortmund', 'aufpassen', 'schade', 'gesiezt']

20 ['schweiz', 'stuttgart', 'freiburg', 'schweizer', 'konstanz', 'württemberg', 'schwäbisch', 'baden', 'ulm', 'zürich', 'darmstadt', 'münchen', 'frankfurt', 'dialekt', 'basel', 'süddeutschland', 'deutschland', 'mannheim', 'karlsruhe', 'nähe', 'bayreuth', 'bade', 'stadt', 'badenwürttemberg', 'bosch', 'bodensee', 'straßburg', 'bayern', 'backnang', 'hamburg', 'schwarzwald', 'regensburg', 'pforzheim', 'zeitlang', 'süddeutsch', 'firma', 'ausland', 'lörrach', 'bundeswehr', 'rhein', 'schwaben', 'fellbach', 'biberach', 'nürnberg', 'österreich', 'stuttgarter', 'kaserne', 'kiel', 'würzburg', 'norbert']

21 ['studieren', 'studium', 'student', 'abitur', 'universität', 'semester', 'hochschule', 'professor', 'uni', 'zeit', 'prüfung', 'examen', 'ausbildung', 'spät', 'zweiter', 'lernen', 'medizin', 'berlin', 'diplom', 'abschluss', 'vorlesung', 'beruf', 'abschließen', 'institut', 'münster', 'geschichte', 'praktikum', 'fach', 'staatsexamen', 'jura', 'beworben', 'promovieren', 'schule', 'dozent', 'fachhochschule', 'fakultät', 'relativ', 'göttingen', 'seminar', 'psychologie', 'chemie', 'köln', 'pädagogisch', 'studienplatz', 'interessant', 'absolvieren', 'technisch', 'stipendium', 'schön', 'stelle']

22 ['politisch', 'meinung', 'diskutieren', 'politik', 'diskussion', 'frage', 'richtig', 'reden', 'ddr', 'partei', 'mensch', 'staat', 'demonstration', 'zeit', 'auseinandersetzung', 'versuchen', 'überzeugen', 'hören', 'erleben', 'ansicht', 'einstellung', 'westen', 'gehören', 'zeitung', 'bundeswehr', 'falsch', 'vertreten', 'drüben', 'letzter', 'kritisch', 'gespräch', 'demonstrieren', 'geschichte', 'führen', 'hart', 'sozialismus', 'offen', 'bundesrepublik', 'position', 'welt', 'verfolgen', 'interessiert', 'mitmachen', 'äußern', 'erinnern', 'auffassung', 'stellung', 'form', 'haltung', 'fest']

23 ['kommunistisch', 'gruppe', 'kj', 'jugend', 'erich', 'barmbek', 'saj', 'käthe', 'straße', 'treffen', 'jugendherberge', 'walter', 'hamburg', 'barmbeker', 'genosse', 'martha', 'rot', 'hamburger', 'beginn', 'zschorlau', 'nennen', 'bockau', 'kapitel', 'wanderschaft', 'aba', 'unger', 'faschismus', 'helmut', 'eppendorf', 'weltkrieg', 'wilhelm', 'nett', 'heinrich', 'offenbacher', 'albert', 'lokal', 'sozialdemokratisch', 'kommunist', 'demonstration', 'fritz', 'proletarier', 'dorotheenstraße', 'brite', 'kneipe', 'schwarzenberg', 'ung', 'politisch', 'lieb', 'kjvd', 'kpd']

24 ['club', 'hahn', 'wagner', 'gladbach', 'nato', 'veranstaltung', 'organisieren', 'elite', 'bonhoeffer', 'landsmannschaft', 'saal', 'freimaurer', 'vortrag', 'chor', 'erzählung', 'auftreten', 'bundeswehr', 'hervorragend', 'mönch', 'japanisch', 'ehemalig', 'zwo', 'benutzen', 'bergisch', 'kröte', 'gemeinschaft', 'dietrich', 'ludendorff', 'parlament', 'rotary', 'hindenburg', 'krähen', 'buddhistisch', 'ratingen', 'merkwürdig', 'vorbelasten', 'kommando', 'integrieren', 'zulassen', 'rotarier', 'rosel', 'komitee', 'entsinnen', 'java', 'finger', 'aversion', 'amtswalter', 'lehrkräfte', 'begegnung', 'nachfolger']

25 ['mjadel', 'prinz', 'gruppe', 'saf', 'nennen', 'nachts', 'familie', 'wittenberg', 'perleberg', 'dolginowo', 'zigeuner', 'kreis', 'postawy', 'baron', 'zuvor', '50', 'besonderer', 'königlich', 'hierhin', 'motte', 'söhne', 'hoheit', 'brigade', 'studentenführer', 'kriwitschi', 'gordon', 'prinzessin', 'arbeitszimmer', 'israel', 'sedjenane', 'senior', 'staub', 'sportclub', 'badehäusch', 'euge', 'vierter', 'vereinen', '40', 'planen', 'frontlinie', 'iosif', 'mordechai', 'tennenbaum', 'brotschrank', 'express', 'rasen', 'genuss', 'anwesend', 'aufklären', 'newery']

26 ['schwein', 'schlachten', 'hühner', 'fleisch', 'eier', 'wurst', 'kaninchen', 'schaf', 'tier', 'gänse', 'ferkel', 'zeit', 'kaufen', 'füttern', 'vieh', 'milch', 'ziege', 'land', 'garten', 'verkaufen', 'kuh', 'schweine', 'fett', 'dorf', 'stall', 'ziegen', 'metzger', 'gan', 'huhn', 'schwarz', 'landwirtschaft', 'butter', 'hof', 'kochen', 'nachbar', 'bauer', 'futter', 'ent', 'essen', 'menge', 'speck', 'quark', 'markt', 'packen', 'arm', 'geflügel', 'schinken', 'schlachter', 'bauernhof', 'krieg']

27 ['musik', 'lieder', 'klavier', 'schön', 'lied', 'chor', 'lernen', 'geige', 'konzert', 'hören', 'kennen', 'musikalisch', 'stimme', 'üben', 'orchester', 'gitarre', 'tanzen', 'musiker', 'theater', 'instrument', 'sänger', 'gerne', 'text', 'melodie', 'spät', 'akkordeon', 'orgel', 'bühne', 'wunderbar', 'beibringen', 'volkslieder', 'musizieren', 'gesang', 'richtig', 'unterricht', 'fallen', 'dirigent', 'gehören', 'musikschule', 'kirchenchor', 'auftreten', 'klavierunterricht', 'gesungen', 'kapelle', 'veranstaltung', 'freude', 'note', 'flöte', 'schlager', 'spaß']

28 ['essen', 'brot', 'kochen', 'gegessen', 'kartoffel', 'suppe', 'tag', 'küche', 'hunger', 'tisch', 'wasser', 'fleisch', 'abends', 'löffel', 'teller', 'kaffee', 'aßen', 'mittagessen', 'woche', 'morgens', 'schmecken', 'aß', 'milch', 'schlecht', 'schüssel', 'mittag', 'frühstück', 'satt', 'kantine', 'dick', 'topf', 'stückchen', 'scheibe', 'mittags', 'salz', 'zucker', 'dünn', 'warm', 'butter', 'abend', 'arbeit', 'hungrig', 'koch', 'richtig', 'tee', 'fett', 'trinken', 'wurst', 'gramm', 'gemüse']

