0 ['mutter', 'kind', 'oma', 'vater', 'erinnern', 'eltern', 'opa', 'haus', 'kindheit', 'erinnerung', 'schwester', 'familie', 'großeltern', 'großmutter', 'zeit', 'wohnen', 'bruder', 'schule', 'spät', 'großelter', 'richtig', 'schön', 'geschwister', 'dorf', 'zuhause', 'gebären', 'krieg', 'sterben', 'garten', 'tante', 'großvater', 'onkel', 'hof', 'gewohnen', 'puppe', 'straße', 'alter', 'gerne', 'verbringen', 'erwachsen', 'tant', 'prägen', 'papa', 'schlimm', 'mama', 'spielzeug', 'zimmer', 'elf', 'freundin', 'feri']

1 ['ministerium', 'minister', 'herr', 'rau', 'staatssekretär', 'düsseldorf', 'fachhochschule', 'johannes', 'innenminister', 'land', 'ministerpräsident', 'bismarck', 'hagen', 'gummersbach', 'gespräch', 'innenministerium', 'referent', 'zuständig', 'politiker', 'errichten', 'villa', 'bonn', 'finanzminister', 'dr', 'sitzung', 'finanzministerium', 'ministerialrat', 'dufhues', 'kühn', 'nordrheinwestfalen', 'regierung', 'bartz', 'professor', 'damalig', 'herrn', 'besch', 'wirtschaftsministerium', 'wissenschaftsministerium', 'schacht', 'interessant', 'gebäude', 'mensa', 'bauministerium', 'heyde', 'leitend', 'arbeitsgruppe', 'errichtung', 'chef', 'logistikzentrum', 'staatlich']

2 ['bruder', 'schwester', 'vater', 'familie', 'mutter', 'brüder', 'kind', 'eltern', 'geschwister', 'sterben', 'spät', 'fallen', 'heiraten', 'ält', 'haus', 'brüdern', 'krieg', 'schwägerin', 'zeit', 'schicken', 'zweiter', 'verheiraten', 'sohn', 'richtig', 'wussen', 'zurückgekommen', 'schwager', 'kontakt', 'älte', 'verstorben', 'arm', 'nennen', 'überleben', 'trennen', 'wohnen', 'dritter', 'verlieren', 'gebären', 'söhne', 'mittlerer', 'cousin', 'adoptieren', 'zurückkommen', 'schwestern', 'zufällig', 'erwähnen', 'besuch', 'umkommen', 'jüng', 'versterben']

3 ['wussen', 'richtig', 'reden', 'passieren', 'kennen', 'stimmen', 'hören', 'versuchen', 'fallen', 'falsch', 'tag', 'merken', 'gehören', 'melden', 'wusste', 'wussten', 'letzter', 'unterhalten', 'aufpassen', 'kopf', 'hingehen', 'passen', 'minute', 'ordnung', 'herr', 'extra', 'geschichte', 'stunde', 'schluss', 'dumm', 'hängen', 'erklären', 'abhauen', 'angucken', 'vergessen', 'schlecht', 'blöd', 'kontrollieren', 'moment', 'bestimmen', 'aufgeschrieben', 'tisch', 'weißen', 'schwarz', 'schlimm', 'treten', 'tür', 'frage', 'fehler', 'hinsetzen']

4 ['verzichten', 'grunde', 'migration', 'essenwest', 'autobahn', 'abgeben', 'termin', 'loge', 'mittlerweile', 'opfer', 'chaussee', 'verzicht', 'arne', 'sekt', 'zeitlich', 'demographie', 'prozess', 'mahler', 'klammer', 'mose', 'beratungsstelle', 'orientieren', 'vertreterfunktion', 'dadrin', 'passiern', 'prozesses', 'arm', 'würdensee', 'sprechstund', 'becker', 'offenheit', 'jüng', 'laach', 'realisieren', '2001', 'verlagern', 'aufbauarbeit', 'scheck', 'mathe', 'austritt', 'verkleiden', 'kolik', 'chorsingen', 'bündeln', 'hochinteressant', 'analysieren', 'raufgelaufe', 'tanzveranstaltung', 'überschwappen', 'freiburg']

5 ['kühlschrank', 'pilz', 'eis', 'teppich', 'staubsauger', 'sammeln', 'kaufhalle', 'vorwerk', 'verkaufen', 'pilze', 'wöchentlich', 'bügeleisen', 'lachend', 'stange', 'eisschrank', 'wappen', 'fulda', 'gong', 'rode', 'sodass', 'aurich', 'ersetzen', 'kalbfleisch', 'seilen', 'heidelbeere', 'schreiberlaubnis', 'kalb', 'klopfer', 'obdachlosenasyl', 'gerät', 'balkon', 'himbeer', 'knieen', 'pflaster', 'löscher', 'liza', 'herausnehmen', 'eismann', 'lehrig', 'halbjahr', 'trick', 'beer', 'himbeeren', 'bürste', 'grafschaft', 'schneuzt', 'waffeleisen', 'menschlein', 'einschnitt', 'teeblättern']

6 ['haar', 'haare', 'blond', 'schwarz', 'schön', 'mädchen', 'abschneiden', 'kopf', 'schneiden', 'geschnitten', 'auge', 'glatze', 'aussehen', 'rot', 'rasieren', 'zöpfe', 'geschoren', 'wachsen', 'blau', 'bart', 'erinnern', 'frisur', 'hand', 'kahl', 'grau', 'erkennen', 'kämmen', 'friseur', 'färben', 'mode', 'schminken', 'nase', 'kamm', 'hübsch', 'waschen', 'brille', 'locken', 'braun', 'bild', 'scheren', 'abgeschor', 'freundin', 'läuse', 'lockig', 'schere', 'abrasieren', 'rothaarig', 'fingernägel', 'anziehen', 'auffallen']

7 ['erinnern', 'zeit', 'spät', 'erinnerung', 'frage', 'erleben', 'gehören', 'richtig', 'geschichte', 'kennen', 'hören', 'mensch', 'erlebnis', 'interessant', 'reden', 'besonderer', 'situation', 'erfahrung', 'versuchen', 'passieren', 'gefühl', 'fallen', 'normal', 'gespräch', 'verschieden', 'empfinden', 'wussen', 'erfahren', 'merken', 'weise', 'vergessen', 'eindruck', 'verhältnis', 'bewusst', 'selbstverständlich', 'kontakt', 'stimmen', 'unterhalten', 'gedanke', 'beschreiben', 'schwer', 'positiv', 'art', 'ereignis', 'treffen', 'kopf', 'rolle', 'führen', 'schildern', 'bild']

8 ['leise', 'geräusch', 'lpg', 'lachen', 'murmeln', 'herr', 'klacken', 'magdeburg', 'umblättern', 'papierraschel', 'flüstern', 'papierrascheln', 'salzwedel', 'stockend', 'ausatmen', 'poltern', 'husten', 'klappern', 'vierzehn', 'duhm', 'stasi', 'büchner', 'räusper', 'naumburg', 'versammlung', 'vorsitzend', 'riegow', 'erfurt', '61', 'geschirrklapper', 'zerbst', 'kreis', 'lauten', 'motorengeräusch', 'geschirrklappern', 'mikrophon', 'undeutlich', 'stöhnen', 'bauer', 'landwirtschaftsschule', 'ludwigslust', 'gläserklirr', 'vorstand', 'räuspern', 'blättern', 'klappen', 'bart', 'friedrich', 'viebeck', 'zeitz']

9 ['geld', 'verdienen', 'bezahlen', 'kaufen', 'zeit', 'pfennig', 'kosten', 'arbeit', 'sparen', 'tag', 'schön', 'schlecht', 'arm', 'teuer', 'billig', 'schwer', 'leisten', 'essen', 'woche', 'taschengeld', '50', 'kind', 'stunde', 'krieg', 'finanziell', 'lachen', 'ausgeben', 'unterstützen', 'abgeben', 'helfen', '25', 'miete', 'anfang', '40', 'reichen', 'zufrieden', 'haushalt', 'eltern', 'froh', 'reich', 'anschaffen', 'schaffen', 'preis', 'fest', 'zahlen', 'fangen', 'richtig', 'urlaub', '80', 'sorgen']

