0 ['kaufen', 'geschäft', 'verkaufen', 'trinken', 'geld', 'laden', 'rauchen', 'kaffee', 'bier', 'flasche', 'zigarett', 'krieg', 'einkaufen', 'markt', 'schön', 'schnaps', 'wein', 'kennen', 'glas', 'lachen', 'lebensmittel', 'teuer', 'paket', 'pfennig', 'kunde', 'zigarette', 'tabak', 'bezahlen', 'konsum', 'schokolade', 'marke', 'kosten', 'schicken', 'ware', 'auto', 'tauschen', 'zeit', 'verkäuferin', 'billig', 'schwarzmarkt', 'essen', 'tasse', 'stadt', 'bestellen', 'straße', 'schenken', 'weihnachten', 'pfund', 'erinnern', 'abends', 'nennen', 'abgeben', 'ecke', 'mitbringen', 'kneipe', 'butter', 'zucker', 'schwarz', 'alkohol', 'tasche', 'normal', 'friseur', 'tisch', 'aufmachen', 'richtig', 'besorgen', 'anbieten', 'firma', 'handel', 'verdienen', 'feiern', 'bruder', 'lokal', 'päckchen', 'preis', 'eier', 'kiste', 'herr', 'zigaretten', 'verkauf', 'währungsreform', 'straßenbahn', 'gaststätte', 'wohnen', 'liefern', 'mussen', 'einladen', 'wert', 'cola', 'gerne', 'händler', 'keller', 'bedienen', 'mensch', 'kuchen', 'schachtel', 'papier', 'holland', 'tafel', 'organisieren']

1 ['mama', 'krieg', 'deutschland', 'sterben', 'dorf', 'erinnern', 'armee', 'schicken', 'arbeit', 'mutter', 'stadt', 'schwester', 'kolchose', 'wohnen', 'spät', 'papa', 'moskau', 'sohn', 'gott', 'gebiet', 'kind', 'vater', 'gebären', 'schule', 'rubel', 'tochter', 'bruder', 'straße', 'abschließen', 'kennen', 'helfen', 'treffen', 'kiew', 'haus', 'familie', 'leningrad', 'stalin', 'ukraine', 'mensch', 'zweiter', 'heiraten', 'minsk', 'zeit', 'klasse', 'charkow', 'rufen', 'institut', 'bauen', 'beenden', 'fabrik', 'zurückkehren', 'foto', 'lieben', 'leiter', 'wohnung', 'tante', 'warten', 'tag', 'bitten', 'schauen', 'rente', 'iwan', 'vergessen', 'dienen', 'bescheinigung', 'kehren', 'absolvieren', 'papier', 'mädchen', 'ukrainisch', 'weinen', 'lernen', 'besuchen', 'pass', 'russisch', 'deutsche', 'anna', 'enkel', 'zeigen', 'kaufen', 'aufnehmen', 'antworten', 'arm', '1947', 'schloss', 'werk', 'jahrgang', 'stelle', '1941', 'mischa', 'nennen', 'krank', 'nadja', 'revolution', 'nähe', 'sewastopol', '1946', 'nina', 'adresse', 'ausbildung']

2 ['lager', 'tag', 'jude', 'erinnern', 'mensch', 'auschwitz', 'wussten', 'ghetto', 'arbeit', 'deutsch', 'zeit', 'jüdisch', 'spät', 'deutsche', 'sterben', 'überleben', 'essen', 'gruppe', 'ort', 'wussen', 'baracke', 'schicken', 'nummer', 'art', 'hören', 'passieren', 'barack', 'bruder', 'schrecklich', 'stadt', 'transport', 'ss', 'schauen', 'versuchen', 'mädchen', 'polnisch', 'fabrik', 'konzentrationslager', 'zug', 'schwester', 'polen', 'block', 'verstecken', 'platz', 'helfen', 'retten', 'kennen', 'häftling', 'freund', 'töten', 'familie', 'nennen', 'erschießen', 'umbringen', 'befreien', 'appell', 'treffen', 'dachau', 'marschieren', 'weiss', 'kleidung', 'theresienstadt', 'woche', 'krank', 'bergen', 'fliehen', 'warten', 'geschehen', 'reihe', 'belsen', 'glück', 'letzter', 'zurückkommen', 'befinden', 'brot', 'soldat', 'gehören', 'verlassen', 'befreiung', 'schwer', 'arbeitslager', 'schlagen', 'stecken', 'tod', 'warschau', 'stunde', 'zählen', 'waggon', 'verschieden', 'gebäude', 'dauern', 'wasser', 'erfahren', 'kapo', 'selektion', 'buchenwald', 'schlafen', 'krieg', 'gestapo', '44']

3 ['wahr', 'klacken', 'iphe', 'intavp', 'bibliothek', 'leise', 'herr', 'sarajevo', 'hintergrund', 'leises', 'kollege', 'jasenovac', 'rums', 'zagreb', 'ustascha', 'rascheln', 'amüsieren', 'kroatien', 'hintergrundgeräusch', 'gruppe', 'kennen', 'intavpn', 'sögen', 'geräusch', 'serbe', 'bücher', 'warschau', 'gradika', 'amüsiern', 'stara', 'amüsiert', 'gefahrn', 'schön', 'tonqualität', 'mostar', 'kroate', 'unwahrscheinlich', 'ipehefrau', 'ulm', 'besucher', 'bosnien', 'passieren', 'intmc', 'system', 'west', 'german', 'klacke', 'wegener', 'kroatisch', 'lopud', 'fahrn', 'seh', 'papier', 'schluß', 'ddrzeit', 'garnicht', 'rab', 'gemeinsam', 'direktor', 'rumse', 'dont', 'gängeviertel', 'ehemalig', 'tito', 'universitätsbibliothek', 'hinrichten', 'klappisch', 'weltkrieg', 'verhältnis', 'bank', 'edv', 'bubi', 'ochsenzoll', 'geschichte', '000', 'sagich', 'vergessen', 'sagn', 'poln', 'hajon', 'vichy', 'reichenbach', 'undda', 'zeitschrift', 'gekommn', 'weberei', 'herrn', 'aufräumen', 'idee', 'neubau', 'kuckuck', 'pirna', 'habich', 'schmunzeln', 'kraljevica', 'gesehn', 'lichtenberg', 'jambol', 'slowen', '76']

4 ['kirche', 'apostel', 'gemeinde', 'stammapostel', 'botschaft', 'gottesdienst', 'neuapostolisch', 'bischoff', 'kuhlen', 'kuhl', 'vater', 'güttinger', 'gott', 'düsseldorf', 'bezirksapostel', 'kennen', 'apostolisch', 'bezirk', 'bischof', 'vorsteher', 'herr', 'grunde', 'otto', 'sterben', 'amt', 'priester', 'erleben', 'predigen', 'geschwister', 'nachfolger', 'gottesdienste', 'schweiz', 'nak', 'schmidt', 'vag', 'ruhestand', 'frankfurt', 'spät', 'gehören', 'trennung', 'streckeise', 'geist', 'stelle', 'schrift', 'liebe', 'sohn', 'fritz', 'tag', 'verteilen', 'bibel', 'familie', '1960', 'christus', 'brüder', 'christi', 'mitglied', 'jesus', 'lieb', 'leber', 'fünfziger', 'gedanke', 'verwaltung', 'verlag', 'übernehmen', 'bottrop', 'jugend', 'bern', 'uv', 'passieren', 'essen', 'walter', 'kontakt', 'diakon', 'hören', 'werk', 'heilig', '55', 'tod', 'besuchen', '51', 'amtsträger', 'rheinland', 'bruder', 'einsetzen', 'zürich', 'bezirksvorsteher', 'schön', 'erfüllen', 'bereich', 'stammapostelhelfer', 'verkündigen', 'mittlerweile', 'spaltung', 'einladen', 'evangelium', 'wiederkommen', 'werner', 'krefeld', 'altar', '54']

5 ['schäfer', 'gruppe', 'chile', 'kolonie', 'deutschland', 'colonia', 'paul', 'spät', 'wussen', 'deutsch', 'chilenisch', 'wolfgang', 'kind', 'dignidad', 'zeit', 'reden', 'botschaft', 'hopp', 'krankenhaus', 'santiago', 'jungs', 'gruppentante', 'herr', 'gehören', 'gemeinde', 'mädchen', 'hartmut', 'müller', 'papa', 'schmidt', 'wussten', 'bibel', 'kontakt', 'colono', 'siegburg', 'passieren', 'mitbekommen', 'schmidtke', 'nennen', 'sogenannter', 'baar', 'opfer', 'tag', 'system', 'diktatur', 'sekt', 'karl', 'mitkriegen', 'kinderhaus', 'wagen', 'missbrauch', 'gronau', 'horst', 'hugo', 'schaffen', 'verschieden', 'erfahren', 'berg', 'kennen', 'versammlung', 'doktor', 'schlimm', 'verstecken', 'willi', 'bulnes', 'fliegen', 'seewald', 'mücke', 'treffen', 'manfred', 'parral', 'zwischendurch', 'peter', 'täter', 'saal', 'küche', 'ursel', 'beten', 'dina', 'arbeit', 'fliehen', 'ansprechen', 'wahnsinnig', 'merken', 'gerhard', 'heide', 'normal', 'missbrauchen', 'foltern', 'helfen', 'schnellenkamp', 'spanisch', 'frank', 'gerd', 'neukra', 'villa', 'problem', 'endlich', 'melden', 'rudi']
