0 ['gefängnis', 'zelle', 'verhaften', 'bautzen', 'verurteilen', 'tag', 'russe', 'entlassen', 'cottbus', 'einsperren', 'russisch', 'iphe', 'spät', 'offizier', 'verhören', 'gefangener', 'verhaftung', 'deutsch', 'politisch', 'waldheim', 'unterschreiben', 'werwolf', 'westen', 'haft', 'sowjetisch', 'stasi', 'ddr', 'intavp', 'keller', 'verhör', 'vernehmung', 'zuchthaus', 'wussen', 'entlassung', 'erfahren', 'lager', '25', 'ehemalig', 'zeit', 'woche', 'sogenannter', 'zellen', 'berlin', 'polizei', 'halle', 'drüben', 'westberlin', 'saal', 'protokoll', 'dolmetscherin']

1 ['studieren', 'studium', 'student', 'universität', 'professor', 'semester', 'abitur', 'hochschule', 'institut', 'uni', 'berlin', 'spät', 'examen', 'prüfung', 'fakultät', 'vorlesung', 'fach', 'promovieren', 'zeit', 'zweiter', 'ausbildung', 'münster', 'pädagogisch', 'philosophie', 'münchen', 'bonn', 'geschichte', 'medizin', 'diplom', 'stelle', 'seminar', 'psychologie', 'relativ', 'beworben', 'staatsexamen', 'wissenschaftlich', 'freiburg', 'köln', 'kollege', 'abschließen', 'kurs', 'lernen', 'jura', 'abschluss', 'jurist', 'mathematik', 'interessant', 'deutsch', 'dozent', 'pädagogik']

2 ['naturschutz', 'kreis', 'herr', 'beirat', 'brechen', 'stocken', 'stadt', 'kennen', 'natur', 'landschaft', 'bereich', 'behörde', 'düsseldorf', 'doktor', 'vorsitzend', 'amt', 'naturschutzgebiet', 'münster', 'kreisbeauftragt', 'regierungspräsident', 'gehören', 'stellungnahme', 'fläche', 'gemeinde', 'tätigkeit', 'arnsberg', 'bezirksbeauftragt', 'ehrenamtlich', 'kreisbeauftragter', 'bund', 'naturschützer', 'beauftragt', '75', 'gebiet', 'naturschutze', 'landschaftsbeirat', 'land', 'lehrer', 'dortmund', 'kollege', 'neuss', 'problem', 'beauftragter', 'naturschutzbeauftragter', 'mitglied', 'interessant', 'stelle', 'herrn', 'wahr', 'kontakt']

3 ['kaufen', 'geschäft', 'geld', 'verkaufen', 'laden', 'krieg', 'zeit', 'lebensmittel', 'einkaufen', 'markt', 'brot', 'bäckerei', 'essen', 'pfund', 'schön', 'marke', 'tauschen', 'konsum', 'kunde', 'bezahlen', 'karte', 'butter', 'teuer', 'paket', 'kennen', 'schicken', 'stadt', 'ware', 'erinnern', 'zigarett', 'schwarz', 'schokolade', 'billig', 'schwarzmarkt', 'zucker', 'bäcker', 'verkäuferin', 'verdienen', 'pfennig', 'lachen', 'kosten', 'abgeben', 'besorgen', 'hamstern', 'mehl', 'richtig', 'fleisch', 'mitbringen', 'schlecht', 'handel']

4 ['hamburg', 'schiff', 'italien', 'italienisch', 'italiener', 'deutsch', 'hafen', 'kiel', 'deutschland', 'firma', 'dänemark', 'arbeiter', 'bahn', 'boot', 'hamburger', 'konsulat', 'schweden', 'bord', 'spät', 'altona', 'herr', 'dänisch', 'mitarbeiter', 'kennen', 'arbeit', 'organisieren', 'ausländisch', 'zweiter', 'lübeck', 'gewohnen', 'harburg', 'engländer', 'kühn', 'flensburg', 'kopenhagen', 'insel', 'mussolini', 'wilhelmsburg', 'deck', 'land', 'ausländer', 'sogenannter', 'rom', 'richtig', 'bahnhof', 'schleswig', 'meer', 'kapitän', 'sechziger', 'sizilien']

5 ['frage', 'politisch', 'mensch', 'richtig', 'meinung', 'versuchen', 'zeit', 'gewiß', 'problem', 'sinn', 'art', 'rolle', 'geschichte', 'situation', 'erleben', 'reden', 'entwicklung', 'ändern', 'führen', 'merken', 'diskutieren', 'grunde', 'erfahrung', 'falsch', 'diskussion', 'gespräch', 'weise', 'gehören', 'generation', 'möglichkeit', 'richtung', 'politik', 'form', 'unterschied', 'gefühl', 'offen', 'grund', 'letzter', 'auseinandersetzung', 'sozial', 'hören', 'fühlen', 'verhältnis', 'deutlich', 'schlecht', 'absolut', 'empfinden', 'positiv', 'erklären', 'unterschiedlich']
