0 ['bdm', 'jugend', 'hitlerjugend', 'uniform', 'jungvolk', 'schule', 'gruppe', 'mädchen', 'deutsch', 'politisch', 'schön', 'hj', 'marschieren', 'antreten', 'arbeitsdienst', 'nennen', 'führerin', 'lachen', 'führer', 'fahne', 'eltern', 'mitmachen', 'erinnern', 'dienst', 'jugendgruppe', 'lager', 'mussen', 'gerne', 'lieder', 'essen', 'hitler', 'katholisch', 'bund', 'fahrt', 'fallen', 'führerinn', 'sport', 'fähnleinführer', 'jugendbewegung', 'jugendliche', 'fdj', 'wandern', 'kameradschaft', 'wanderung', 'jugendlich', 'pimpfe', 'vater', 'begeistert', 'nationalsozialismus', 'kinderlandverschickung']

1 ['ddr', 'wende', 'eltern', 'westen', 'prinzip', 'osten', 'relativ', 'zeit', 'lachen', 'kind', 'spannend', 'erleben', 'passieren', 'richtig', 'erinnern', 'dresden', 'merken', 'normal', 'mitbekommen', '89', 'super', 'familie', 'interessant', 'land', 'freund', 'gefühl', 'richtung', 'kennen', 'berlin', 'system', 'echt', 'wussen', 'geschichte', 'wahrnehmen', 'überlegen', 'schule', 'stasi', 'leipzig', 'verändern', 'fühlen', 'offen', 'mauer', 'funktionieren', 'ahnung', 'angucken', 'grenze', 'ddrzeit', 'aufwachsen', 'mitkriegen', 'bewusst']

2 ['zeit', 'arbeit', 'aufgabe', 'übernehmen', 'bereich', 'stelle', 'spät', 'tätigkeit', 'verschieden', 'möglichkeit', 'nennen', 'mitarbeiter', 'organisieren', 'aufbauen', 'einsetzen', 'durchführen', 'versuchen', 'sogenannter', 'gewiß', 'anfang', 'verwaltung', 'führen', 'einzeln', 'verfügung', 'plan', 'abteilung', 'leitung', 'funktion', 'damalig', 'problem', 'mitglied', 'kontakt', 'zuständig', 'letzter', 'gruppe', 'beschäftigen', 'kümmern', 'tag', 'grund', 'leiter', 'auftrag', 'hilfe', 'entwickeln', 'ort', 'gesamt', 'bitten', 'betreuen', 'art', 'bilden', 'leiten']

3 ['bochum', 'kind', 'verein', 'gelsenkirchen', 'krieg', 'wohnen', 'bochumer', 'zeche', 'schön', 'mutter', 'geld', 'kennen', 'zeit', 'arbeit', 'essen', 'verheiraten', 'straße', 'woche', 'lachen', 'richtig', 'gerne', 'haushalt', 'wattenscheid', 'buer', 'mädchen', 'heiraten', 'vater', 'haus', 'sögen', 'sachten', 'moment', 'tag', 'morgens', 'fallen', 'kaputt', 'gott', 'hingehen', 'gewohnen', 'helfen', 'straßenbahn', 'ecke', 'wohnung', 'leise', 'melden', 'hand', 'mussen', 'geschäft', 'rüber', 'stadt', 'holland']

4 ['hitler', 'krieg', 'nazi', 'zeit', '33', 'vater', 'partei', 'deutsch', 'gehören', 'politisch', 'nationalsozialismus', 'heil', 'kommunist', 'spät', 'kennen', 'lachen', 'erinnern', 'berlin', 'sa', 'wussen', 'reich', '1933', '34', 'straße', 'nazizeit', 'jude', 'führer', 'adolf', 'erleben', 'nsdap', 'fahne', 'nationalsozialistisch', '36', 'nazis', 'geschichte', 'richtig', 'kz', '38', 'nennen', 'uniform', 'mitmachen', 'politik', '37', 'mitkriegen', 'frage', 'nationalsozialist', 'herr', 'grüßen', '35', '45']

5 ['haus', 'wohnung', 'wohnen', 'zimmer', 'bauen', 'straße', 'gewohnen', 'schön', 'familie', 'garten', 'stadt', 'kind', 'eltern', 'gehören', 'kaufen', 'grundstück', 'einziehen', 'küche', 'zeit', 'nachbar', 'platz', 'möbel', 'etage', 'verkaufen', 'gebäude', 'nähe', 'umziehen', 'ecke', 'einrichten', 'häuschen', 'kennen', 'hof', 'gewohnt', 'siedlung', 'raum', 'räume', 'dach', 'spät', 'keller', 'bad', 'quadratmeter', 'anfang', 'fenster', 'tür', 'mieten', 'zweiter', 'schlafzimmer', 'unterbringen', 'tochter', 'miete']

6 ['hamburg', 'italienisch', 'italiener', 'italien', 'deutsch', 'schiff', 'hamburger', 'spanien', 'deutschland', 'bahn', 'arbeiter', 'dänemark', 'ausländer', 'firma', 'spät', 'hafen', 'spanisch', 'konsulat', 'altona', 'herr', 'spanier', 'ausländisch', 'harburg', 'dänisch', 'kiel', 'gewohnen', 'bahnhof', 'lübeck', 'barmbek', 'eppendorf', 'kennen', 'gastarbeiter', 'weltkrieg', 'richtig', 'mitarbeiter', 'wilhelmsburg', 'kühn', 'zweiter', 'mussolini', 'kopenhagen', 'portugal', 'st', 'sogenannter', 'werft', 'verbindung', 'rom', 'sizilien', 'siebziger', 'gruppe', 'türke']

7 ['wasser', 'bauen', 'winter', 'meter', 'holz', 'stein', 'kalt', 'schnee', 'sommer', 'straße', 'wald', 'berg', 'erde', 'mussen', 'baum', 'fallen', 'richtig', 'tag', 'fluss', 'stelle', 'kilometer', 'graben', 'sand', 'luft', 'boden', 'brücke', 'dach', 'warm', 'breit', 'schwer', 'feuer', 'nennen', 'loch', 'regnen', 'sammeln', 'regen', 'heiß', 'eis', 'schön', 'wagen', 'eimer', 'hand', 'mitte', 'art', 'dick', 'sonne', 'kälte', 'bretter', 'frühjahr', 'zement']

